,RMSE,MAPE,R²
RNN,0.22156870199792822,13439.376783678052,0.33040968923856007
LSTM,0.2330491026976297,10334.919389020723,0.25729768130878433
GRU,0.2821180591477854,17857.454142146973,-0.08634629971292683
BiGRU,0.2813445650130401,19191.977053239803,-0.0805675083037119
EMD-BiGRU,0.27233502616740995,19695.796756979857,-0.012339118986490146
