IMF_Num,Time_Steps,Batch_Size,Hidden_Dim,LR,Best100_RMSE,Best100_MAE,Best100_R2
4,12,16,64,0.001,1.305534488383867,1.0252654568185806,0.9001237350282068
4,12,16,64,0.005,1.7815996714102094,1.5555708911722306,0.8652932400415241
4,12,16,128,0.001,1.178841229099452,0.8460348075962068,0.9410233940530965
4,12,16,128,0.005,1.5761490262721036,1.3191758991193772,0.853562457239389
4,12,32,64,0.001,1.3085556969936607,1.073719835470438,0.9397236134191487
4,12,32,64,0.005,1.2841134002741856,1.0128692364091874,0.8993287238056986
4,12,32,128,0.001,1.3245027796707376,0.9501826977634431,0.8972004194056187
4,12,32,128,0.005,1.2914749181748133,1.0996133191833497,0.929215023083517
4,12,64,64,0.001,1.164334729261533,0.8114827967145444,0.9523606871179108
4,12,64,64,0.005,1.461249398714359,1.2338067261171342,0.9028889786050037
4,12,64,128,0.001,1.3699202148153011,0.924699218852997,0.920354784622551
4,12,64,128,0.005,1.4146249282998662,1.0913927107367518,0.9296778080220168
4,12,128,64,0.001,1.3685306772720327,1.0454198534097672,0.9340717028429366
4,12,128,64,0.005,1.4050912700327922,1.039687938786052,0.9306792056795938
4,12,128,128,0.001,1.5489856669938822,1.2666130803050997,0.9156850505344492
4,12,128,128,0.005,1.1111591971451749,0.7874093555374145,0.9506458472404913
4,24,16,64,0.001,1.2609898530843653,1.0374645246934893,0.9364384741632813
4,24,16,64,0.005,0.8998935547071907,0.7010917023079395,0.9715149110096516
4,24,16,128,0.001,1.1470691552065975,0.8439715666732791,0.9196699529300195
4,24,16,128,0.005,1.152322271231831,0.9063625044116975,0.9532928670701277
4,24,32,64,0.001,1.2266474862705818,0.8566583625078199,0.9239396016120413
4,24,32,64,0.005,1.161027740092756,0.976820538714707,0.9526811134817041
4,24,32,128,0.001,1.239470927700585,0.892885877352953,0.938589332252403
4,24,32,128,0.005,1.1784165356815601,0.9739297993614674,0.928818839974902
4,24,64,64,0.001,1.129713824098217,0.8454052304891944,0.9354857079657917
4,24,64,64,0.005,1.0830345954754808,0.9143065096511842,0.9587097565462602
4,24,64,128,0.001,0.9677533960221958,0.7410448713354468,0.9671329182171382
4,24,64,128,0.005,1.0637389656323315,0.8207543618001938,0.9318747977122438
4,24,128,64,0.001,1.5338058198668212,1.3831869398202898,0.9185918142743156
4,24,128,64,0.005,1.1594867691488966,1.0277083672830611,0.9529992780070693
4,24,128,128,0.001,1.1403386179250528,0.9577304610980751,0.9545388310170493
4,24,128,128,0.005,0.9376202338337571,0.6908959975650312,0.9691478325997855
4,48,16,64,0.001,0.9958991544956753,0.771443174328089,0.9603537735082665
4,48,16,64,0.005,1.105288346414554,0.9314292539398372,0.9487852878268599
4,48,16,128,0.001,0.8691160957155437,0.7077586742553712,0.950980146450546
4,48,16,128,0.005,0.9145318274892873,0.7469770242738725,0.9706406137470346
4,48,32,64,0.001,1.1941237185350309,0.9906058404052258,0.9279195152218713
4,48,32,64,0.005,1.2745758246710681,1.0599886816534996,0.9429729800353641
4,48,32,128,0.001,0.9299018533983224,0.730970374352932,0.9654342999480277
4,48,32,128,0.005,1.0621823278656124,0.8692788615851401,0.962145424715283
4,48,64,64,0.001,0.9632436816091905,0.7226282571239473,0.9629111413987609
4,48,64,64,0.005,1.0251414853321088,0.821958909163952,0.9579913477830121
4,48,64,128,0.001,1.1080557661302806,0.8784434397850037,0.9509211512892689
4,48,64,128,0.005,1.2385442016027306,1.0460098254704477,0.9224570944028452
4,48,128,64,0.001,0.9275101616878533,0.733321341928482,0.9656118760748483
4,48,128,64,0.005,1.1123251796906792,0.9755328411450386,0.9540825991679432
4,48,128,128,0.001,1.1108672756136257,0.8439885974373819,0.9376202835803089
4,48,128,128,0.005,1.053546653462175,0.9244829654898645,0.9597654294888001
