IMF_Num,Time_Steps,Batch_Size,RMSE,MAE,MAPE(%),R2
3,6,32,3.235520894286837,2.20747611533634,67.6072701630504,0.5667641549089288
3,6,64,3.0107287416624606,2.1960677455664266,64.90141993323331,0.6248722244947926
3,6,128,3.0895065591166664,2.326119418036032,66.37830728216976,0.6049844358355223
3,12,32,3.251121366212048,2.4664008328447964,63.826774729542905,0.5626823104682832
3,12,64,3.106449908233105,2.339901756123146,58.85489536479063,0.6007367014910387
3,12,128,3.138313393542435,2.315389285373521,61.531050346383175,0.5925040460293485
3,24,32,2.8159577938655613,2.0976897210810286,60.61798397814666,0.6718532153002651
3,24,64,2.8059589004533834,2.220150594790858,55.998926887016445,0.6741794429611467
3,24,128,3.136730702806038,2.2811883111567695,67.17462843093418,0.5928350921693264
3,48,32,2.8003975626396023,2.1467086747431834,58.64898729599882,0.6735473623839975
3,48,64,2.6829449632931945,2.0599388604327755,54.57905754394741,0.7003568681709809
3,48,128,2.820561907650662,2.313377159339964,57.972519304441114,0.6688291729538356
4,6,32,2.4573789160936443,1.8188964804875707,51.63573425826853,0.7500919647275714
4,6,64,2.5448890757755134,2.017412381768671,48.587048025114456,0.7319760029426907
4,6,128,2.6517037864327926,2.2162841467243695,51.80486600218613,0.7090046949110593
4,12,32,2.538720185922189,1.8318086362005752,50.78545606898146,0.7333384784546615
4,12,64,2.5625097685070743,1.8821599648276015,53.65346459725758,0.7283174532259546
4,12,128,2.8089034310137833,2.092493970460505,58.794409343223734,0.6735593021520476
4,24,32,2.2926281614068387,1.701359374875196,47.32502872139678,0.7824880528038527
4,24,64,2.4588070454747437,1.8918770691209754,50.08914559679356,0.7498129832734826
4,24,128,2.810758659447089,2.1753696558840114,57.84967777767341,0.6730638188609779
4,48,32,2.007361541106221,1.5634806714698612,39.383251804184574,0.8322617922039198
4,48,64,2.133786728830812,1.7154086596190632,40.51771391471639,0.8104678804837978
4,48,128,2.0336013266931277,1.4867300121119968,40.41350512426689,0.8278478571203143
5,6,32,1.940845536590971,1.4922448098432595,39.6340784475809,0.8441101242289748
5,6,64,1.9181911281897905,1.492197670490704,41.520137230884224,0.8477281161681647
5,6,128,1.9237836519895515,1.4178129887837083,42.08672901016578,0.8468389184996516
5,12,32,1.9066718209798137,1.4527917433663766,38.44015261804103,0.8495879686199466
5,12,64,2.0012676703800105,1.5468619655300035,43.684153196369266,0.8342929294927541
5,12,128,2.3496682871237504,1.7007372228177804,51.5583617237939,0.7715749171268599
5,24,32,1.9494148692046969,1.5768169671470833,39.327600648750945,0.8427377737221408
5,24,64,1.9394781650780457,1.4644933649962946,38.630430340019814,0.844336905402582
5,24,128,2.098543957168707,1.6066762947053441,44.668683123330865,0.817756514894839
5,48,32,1.9718713771637149,1.5782926752110278,38.58180856657015,0.8381405851729298
5,48,64,1.8960139863852201,1.5393987667005575,36.711972680762166,0.8503544270814797
5,48,128,1.892414481827485,1.4695050926678959,37.901476699211315,0.8509220796655537
